Time,TrialID,Event,Details
16:43:07.773,PRACTICE,StartEndBlock,
16:43:07.782,PRACTICE,TrialOn,
16:43:09.776,PRACTICE,SampleOn,
16:43:10.280,PRACTICE,SampleOff,
16:43:10.780,PRACTICE,DistractorOn,
16:43:11.284,PRACTICE,DistractorOff,
16:43:13.284,PRACTICE,TargetOn,
16:43:13.292,PRACTICE,Choice,
16:43:16.814,PRACTICE,Clicked,
16:43:16.824,PRACTICE,Feedback,
16:43:16.833,PRACTICE,TargetSelected,
16:43:16.834,PRACTICE,AudioPlaying,
16:43:16.834,PRACTICE,Success,
16:43:17.827,PRACTICE,Reset,
16:43:17.834,PRACTICE,TrialOn,
