Time,TrialID,Event,Details
15:24:32.988,PRACTICE,StartEndBlock,
15:24:32.990,PRACTICE,TrialOn,
15:24:34.990,PRACTICE,SampleOn,
15:24:35.494,PRACTICE,SampleOff,
15:24:35.995,PRACTICE,DistractorOn,
15:24:36.494,PRACTICE,DistractorOff,
15:24:38.498,PRACTICE,TargetOn,
15:24:38.506,PRACTICE,Choice,
15:24:39.286,PRACTICE,Clicked,
15:24:39.294,PRACTICE,Feedback,
15:24:39.303,PRACTICE,SelectingTarget,
15:24:39.303,PRACTICE,AudioPlaying,
15:24:39.303,PRACTICE,Success,
15:24:40.298,PRACTICE,Reset,
15:24:40.302,PRACTICE,TrialOn,
